"","f1_e1","f1_e2","f2_e1","f2_e2","n_basis","success_count"
"1",3.91275,130.11708,0.38079,2.09047,4,5000
"2",3.64305,130.61095,0.09512,1.81643,5,5000
"3",3.65426,131.35355,0.07775,1.80913,6,5000
"4",3.67705,132.14205,0.07518,1.8168,7,5000
"5",3.71074,133.36537,0.0581,1.8165,8,5000
"6",3.71921,133.68149,0.0564,1.81931,9,5000
"7",3.74201,134.51217,0.05218,1.82576,10,5000
"8",3.7644,135.29727,0.0519,1.8361,11,5000
"9",3.80109,136.57581,0.05204,1.85315,12,5000
"10",3.83436,137.78407,0.05271,1.86997,13,5000
"11",3.86217,138.73431,0.05307,1.88269,14,5000
"12",3.86856,138.97427,0.0526,1.88482,15,5000
"13",3.88506,139.57419,0.05283,1.89335,16,5000
"14",3.91267,140.5149,0.05322,1.90619,17,5000
"15",3.94813,141.80885,0.05358,1.92312,18,5000
