f1_e1,f1_e2,f2_e1,f2_e2,n_basis,success_count
0,0,0,0,1,0
3.6975216821108177,129.19133735032568,0.6952364931614831,2.394399533437222,3,5000
3.6347035142043147,130.59281554182246,0.07418129892625985,1.795816800944426,5,5000
3.6762259845089287,132.0824820138016,0.05147130962678385,1.7934269021325526,7,5000
3.718852537544315,133.67575428625497,0.05104970622270979,1.812908100982769,9,5000
3.764506721475903,135.26218648523314,0.05146451789575423,1.8346302450265894,11,5000
3.810949927900835,136.90281800923086,0.05197380387819929,1.8572425102431276,13,5000
3.8567441840723165,138.57257529224665,0.05252120988973837,1.8802107534919845,15,5000
3.9061852571557436,140.29178124765565,0.05304327165297495,1.9028253007284568,17,5000
3.9551703628111876,142.057266882177,0.053647142499864804,1.9271845824346567,19,5000
