"","f1_e1","f1_e2","f2_e1","f2_e2","n_basis","success_count"
"1",10.93556,135.66335,0.69614,2.38597,4,5000
"2",6.01366,130.75986,0.77796,2.46801,5,5000
"3",6.36762,131.10562,0.79035,2.48029,6,5000
"4",6.76471,131.49507,0.7684,2.45834,7,5000
"5",7.21393,131.93622,0.7958,2.48568,8,5000
"6",7.77885,132.48984,0.75447,2.44437,9,5000
"7",8.48517,133.18046,0.71664,2.40654,10,5000
"8",8.95142,133.63714,0.70481,2.39475,11,5000
"9",9.21314,133.89421,0.71456,2.4045,12,5000
"10",9.29854,133.97794,0.73961,2.42952,13,5000
"11",9.31792,133.99732,0.74046,2.43037,14,5000
"12",9.32858,134.00809,0.74354,2.43344,15,5000
"13",9.27722,133.95811,0.77399,2.46383,16,5000
"14",9.23813,133.91976,0.77175,2.46159,17,5000
"15",9.33983,134.01705,0.76653,2.45632,18,5000
"16",9.24067,133.92097,0.78389,2.47367,19,5000
"17",9.34246,134.01837,0.75304,2.44285,20,5000
"18",9.38735,134.06288,0.76148,2.45127,21,5000
"19",9.35218,134.02839,0.75842,2.44823,22,5000
"20",9.50715,134.17875,0.74067,2.43049,23,5000
"21",9.51344,134.18666,0.7552,2.44502,24,5000
"22",9.52277,134.19463,0.75125,2.44107,25,5000
