f1_e1,f1_e2,f2_e1,f2_e2,n_basis,success_count,FPC
12.01215,136.37917,0.74396,2.45234,50,1000,2
12.63307,136.79449,0.73227,2.43754,70,1000,2
4.98379,130.27154,0.62033,2.33437,50,1000,3
6.70572,131.58072,0.69647,2.40584,70,1000,3
4.33014,130.23059,0.08985,1.81309,50,1000,4
5.81452,131.05453,0.26875,1.9835,70,1000,4
4.07164,130.68035,0.06323,1.79676,50,1000,5
5.083,131.08668,0.22106,1.94707,70,1000,5
3.70117,131.04066,0.06245,1.80571,50,1000,6
5.62771,132.62722,0.23593,1.97606,70,1000,6
3.69911,131.80298,0.05566,1.8068,50,1000,7
5.37466,133.80644,0.27455,2.03417,70,1000,7
