"","f1_e1_fpcr","f1_e2_fpcr","f2_e1_fpcr","f2_e2_fpcr","varprop","n_basis","success_count"
"1",2.9163,10.8768,0.9599,1.6431,1,4,2500
"2",2.345,10.585,0.8649,1.5631,0.9776,5,2500
"3",2.4187,10.6889,0.8739,1.5759,0.9556,6,2500
"4",2.4971,10.7287,0.8625,1.5723,0.9472,7,2500
"5",2.5799,10.6971,0.8716,1.575,0.9239,8,2500
"6",2.6828,10.7669,0.853,1.5661,0.9178,9,2500
"7",2.825,10.7906,0.8304,1.5622,0.8976,10,2500
"8",2.9082,10.7774,0.8237,1.5424,0.906,11,2500
"9",2.9519,10.8126,0.8286,1.5561,0.9036,12,2500
"10",2.9972,10.8221,0.8404,1.5551,0.9052,13,2500
"11",2.9755,10.7706,0.8396,1.5614,0.9074,14,2500
"12",2.9762,10.7946,0.8476,1.557,0.9058,15,2500
"13",2.9627,10.8067,0.8609,1.5615,0.9061,16,2500
"14",2.9621,10.7707,0.857,1.5628,0.906,17,2500
"15",2.9929,10.8315,0.8536,1.5632,0.8935,18,2500
"16",2.9576,10.7894,0.8676,1.5656,0.901,19,2500
"17",2.9835,10.8445,0.8514,1.5612,0.8934,20,2500
"18",2.979,10.8387,0.8536,1.5649,0.893,21,2500
"19",2.9975,10.8558,0.848,1.5636,0.8962,22,2500
"20",3.0216,10.7774,0.838,1.562,0.892,23,2500
"21",3.0211,10.7747,0.8515,1.5647,0.8944,24,2500
"22",3.0052,10.8528,0.8491,1.5618,0.8937,25,2500
