"","f1_e1_spline","f1_e2_spline","f2_e1_spline","f2_e2_spline","n_basis","success_count"
"1",2.1318,71.71,0.6082,1.5345,4,2500
"2",2.0076,71.9395,0.3427,1.2906,5,2500
"3",1.9937,72.2563,0.2456,1.2014,6,2500
"4",2.0365,73.7857,0.2797,1.2495,7,2500
"5",2.1861,79.0485,0.1044,1.1458,8,2500
"6",2.0511,74.1784,0.0356,1.0217,9,2499
"7",2.1052,76.1884,0.0297,1.0393,10,2499
"8",2.1012,76.4031,0.0296,1.0425,11,2500
"9",2.3815,86.1707,0.037,1.1819,12,2500
"10",2.2114,80.6208,0.0363,1.1024,13,2500
"11",2.4495,87.6977,0.038,1.2126,14,2500
"12",2.2887,83.4755,0.0315,1.1363,15,2500
"13",2.5491,93.593,0.0352,1.2652,16,2500
"14",2.5514,93.3074,0.0352,1.2661,17,2500
"15",2.7516,100.5562,0.038,1.362,18,2500
"16",3.0243,109.9876,0.041,1.4813,19,2500
"17",3.4255,122.396,0.0472,1.6854,20,2500
"18",3.6336,132.0772,0.0491,1.775,21,2500
"19",5.9368,209.1281,0.0779,2.8611,22,2500
"20",9.6333,339.676,0.1264,4.6536,23,2500
"21",15.2729,545.8272,0.2002,7.2265,24,2500
"22",13.9782,495.9573,0.1843,6.6969,25,2500
